Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Dividend yield,Down from 52w high
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,462.55,39.38,20247.52,3817.29,2907.72,76.17,76.43,17.54,2.67,0.69,4.38,2.49,15.94,675.52,-0.48,27.02,123.65,0.0,7.57,0.77,-0.33,6.49,0.0,17.84
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1277.9,42.4,23997.3,25441.73,2629.19,10.33,11.39,12.67,1.18,0.4,8.02,0.02,10.86,5611.37,397.77,3841.63,2453.81,1789.12,7.78,-0.5,-0.1,0.23,0.57,35.69
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,404.05,50.12,110603.42,48185.84,17802.62,36.95,36.69,27.47,3.09,-4.14,1.27,5.22,12.04,-106247.85,405.45,843.34,1842.17,0.0,6.28,-0.35,0.93,10.0,0.0,6.19
Alembic Pharma,533573,APLLTD,INE901L01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,835.65,47.78,16425.82,7783.95,1167.13,14.99,15.26,21.89,2.9,0.77,8.79,0.25,13.45,1948.76,-1.23,1466.3,835.08,2510.64,5.17,-0.24,-0.09,1.61,1.47,16.27
Alkem Lab,539523,ALKEM,INE540L01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,5354.1,41.06,64016.31,15081.28,3032.21,20.11,20.44,28.18,4.64,0.89,12.92,0.15,18.89,6690.51,411.85,2979.11,2244.18,3333.22,5.03,1.25,0.27,0.63,0.99,9.76
Angel One,543235,ANGELONE,INE732I01021,Capital Markets,Stockbroking & Allied,286.35,44.39,26163.43,5425.77,2028.11,37.38,35.42,25.39,4.36,20.81,4.49,1.3,15.59,8225.39,17.09,434.45,9170.28,0.0,10.49,1.46,0.95,4.15,1.38,20.56
Apollo Tyres,500877,APOLLOTYRE,INE438A01022,Auto Components,Tyres & Rubber Products,439.8,56.19,27931.76,29307.63,4143.45,14.14,14.65,13.06,1.72,0.5,7.32,0.22,13.07,2614.57,-466.33,3190.84,3224.29,5452.28,8.96,1.49,-2.06,1.33,1.36,18.63
Aptus Value Hou.,543335,APTUS,INE852O01025,Finance,Housing Finance Company,250.75,42.86,12558.07,2272.27,1872.29,82.4,83.07,12.76,2.43,0.55,7.76,1.56,20.11,754.67,53.74,0.0,19.79,0.0,9.49,0.47,-0.38,4.13,1.79,29.05
Arvind Ltd,500101,ARVIND,INE034A01011,Textiles & Apparels,Garments & Apparels,557.15,51.95,15156.73,9797.83,1065.97,10.88,11.41,34.51,3.62,5.89,5.18,0.41,10.79,322.76,34.06,1443.79,1972.82,2173.53,5.07,2.74,-0.22,2.01,0.84,7.14
Ashok Leyland,500477,ASHOKLEY,INE208A01029,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,175.15,57.97,102880.5,57723.13,10981.93,19.03,5.58,27.67,7.19,0.62,4.27,4.49,27.43,4302.59,343.39,3087.44,9291.24,4671.8,6.73,2.69,-3.9,6.07,1.97,18.69
Atul,500027,ATUL,INE100A01010,Chemicals & Petrochemicals,Specialty Chemicals,6386.0,42.41,18801.5,6643.49,1188.81,17.89,16.48,23.63,3.0,2.74,9.3,0.03,11.49,1285.57,216.56,1271.0,852.24,815.47,5.69,0.04,-0.06,0.17,0.46,11.28
AU Small Finance,540611,AUBANK,INE949L01017,Banks,Other Bank,1085.0,50.48,81437.75,19560.64,10699.71,54.7,55.22,28.5,4.02,1.25,1.51,8.34,14.25,5653.99,2856.55,0.0,314.51,0.0,5.64,1.51,-1.29,12.28,0.09,5.21
Avanti Feeds,512573,AVANTIFEED,INE871C01038,Food Products,Animal Feed,823.0,30.77,11213.0,6359.97,639.6,10.06,12.36,20.82,3.42,0.76,15.19,0.0,18.29,1073.29,213.58,143.89,243.18,940.27,7.42,0.53,-0.44,0.02,1.22,48.36
Axis Bank,532215,AXISBANK,INE238A01034,Banks,Private Sector Bank,1283.0,54.96,399408.52,135731.89,81034.17,59.7,59.29,14.43,1.8,0.42,1.47,7.47,13.12,118869.75,29291.88,0.0,0.0,0.0,5.54,-0.66,-2.13,15.01,0.08,9.54
Bajaj Finance,500034,BAJFINANCE,INE296A01032,Finance,Non Banking Financial Company (NBFC),1064.7,50.28,662877.36,85963.63,58573.63,68.14,68.29,32.47,5.8,1.74,3.81,3.82,18.25,16950.65,-240.16,1908.08,2104.53,0.0,5.27,1.2,-1.13,7.56,0.5,9.59
Bajaj Finserv,532978,BAJAJFINSV,INE918I01026,Finance,Holding Company,2018.45,53.63,323368.06,157641.68,59568.13,37.79,37.93,31.48,4.14,2.0,2.83,5.52,13.23,-132648.93,-344.19,9332.08,9052.12,0.0,7.95,0.35,-0.33,7.38,0.07,8.04
Bajaj Housing,544252,BAJAJHFL,INE377Y01014,Finance,Housing Finance Company,83.93,48.22,69933.35,11604.2,10595.59,91.31,90.96,25.93,3.1,0.96,2.24,4.6,12.11,-231.05,-12.76,27.8,126.1,0.0,6.05,-0.18,-0.09,9.83,0.0,28.26
Bank of Baroda,532134,BANKBARODA,INE028A01039,Banks,Public Sector Bank,237.85,42.83,123000.86,136546.33,87323.66,63.95,64.22,5.58,0.73,0.56,1.01,10.89,12.7,104206.96,17511.43,0.0,0.0,0.0,5.79,-0.59,0.45,16.61,3.61,26.94
Bank of India,532149,BANKINDIA,INE084A01016,Banks,Public Sector Bank,142.1,52.71,64693.45,77243.58,55814.43,72.26,72.61,5.52,0.71,0.13,0.95,11.83,12.41,83817.63,10440.65,0.0,0.0,0.0,6.05,0.0,-0.39,16.25,3.3,20.37
Bank of Maha,532525,MAHABANK,INE457A01014,Banks,Public Sector Bank,82.24,58.33,63255.35,30262.41,20806.29,68.75,69.25,8.32,1.8,0.21,1.76,10.74,22.65,13442.37,3745.66,0.0,0.0,0.0,5.67,0.35,0.27,15.61,2.67,12.97
Bayer Crop Sci.,506285,BAYERCROP,INE462A01022,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,3993.0,38.79,17945.37,5595.4,892.9,15.96,15.4,24.49,6.11,46.21,12.59,0.03,23.7,2293.4,165.2,1115.5,1237.9,2135.5,5.58,-0.25,0.08,0.09,3.73,27.25
Bharti Airtel,532454,BHARTIARTL,INE397D01024,Telecom - Services,Telecom - Cellular & Fixed line services,1830.0,40.77,1142011.6,220049.3,125138.6,56.87,55.23,36.59,7.5,0.81,6.42,1.31,20.27,-97990.9,-165.9,7977.6,45015.2,600.9,5.54,0.11,-1.31,2.63,1.3,15.85
Brigade Enterpr.,532929,BRIGADE,INE791I01019,Realty,"Residential, Commercial Projects",656.0,65.1,21402.64,5531.63,1463.84,26.46,25.15,31.53,3.12,0.9,3.04,0.93,10.47,3083.18,254.05,600.69,881.7,11400.89,5.6,0.72,-1.12,4.6,0.31,18.21
Can Fin Homes,511196,CANFINHOME,INE477A01020,Finance,Housing Finance Company,799.65,45.82,10647.69,4292.09,3952.79,92.09,92.07,9.42,1.81,0.46,2.56,6.4,19.66,214.94,2.09,2.43,7.67,0.0,8.07,-0.08,-0.14,9.71,1.85,17.69
Canara Bank,532483,CANBK,INE476A01022,Banks,Public Sector Bank,126.25,48.32,114517.0,127805.38,91290.72,71.43,69.66,5.8,0.93,0.32,1.09,14.28,16.08,196176.59,23532.04,0.0,0.0,0.0,6.27,1.0,-1.56,15.37,3.3,22.5
Castrol India,500870,CASTROLIND,INE172A01027,Petroleum Products,Lubricants,184.85,43.5,18283.81,6219.38,1514.13,24.35,23.55,17.07,9.63,2.97,27.26,0.03,45.86,972.7,40.74,757.7,1213.15,1041.83,8.39,-0.57,-0.31,0.04,4.69,12.29
CEAT,500878,CEATLTD,INE482A01020,Auto Components,Tyres & Rubber Products,3419.05,43.92,13830.02,16466.7,2024.73,12.3,13.16,21.81,2.73,0.41,6.04,0.65,16.14,-2051.78,-33.05,1838.9,3447.82,1783.37,7.66,1.29,-2.73,2.45,1.03,22.96
Central Bank,532885,CENTRALBK,INE483A01010,Banks,Public Sector Bank,30.21,38.57,27344.28,37270.22,23386.02,62.75,62.46,6.01,0.67,0.15,0.88,12.41,11.9,41227.22,5584.35,0.0,0.0,0.0,5.59,6.13,0.18,17.54,3.97,26.17
Central Mine Pla,544739,CMPDI,INE05HV01027,Construction,Civil Construction,231.3,39.78,16514.82,2316.53,777.56,33.57,33.57,25.24,7.23,0.92,20.63,0.0,28.35,2059.34,80.92,1074.74,276.45,13.84,5.47,-3.27,-0.71,0.0,0.45,18.47
CESC,500084,CESC,INE486A01021,Power,Integrated Power Utilities,146.35,26.69,19399.75,18853.0,3478.0,18.45,19.51,12.46,1.54,2.93,3.54,1.73,12.04,-938.44,1198.0,2415.89,1847.9,697.91,9.69,-0.1,-0.15,6.26,4.16,28.44
Chambal Fert.,500085,CHAMBLFERT,INE085A01013,Fertilizers & Agrochemicals,Fertilizers,409.35,29.42,16400.65,20123.07,2743.13,13.63,12.96,8.55,1.62,0.36,14.79,0.1,19.95,2903.45,203.16,2075.2,936.46,2279.82,14.9,-0.06,-0.18,0.41,2.66,29.51
Chola Financial,504973,CHOLAHLDNG,INE149A01033,Finance,Investment Company,1469.15,37.45,27587.34,40889.97,22781.19,55.71,55.25,10.38,1.79,0.44,2.23,13.61,17.47,-1948.65,525.05,327.05,339.4,0.0,10.27,0.8,-0.81,9.16,0.09,28.82
CIE Automotive,532756,CIEINDIA,INE536H01010,Auto Components,Auto Components & Equipments,390.0,27.43,14795.15,9997.34,1481.84,14.82,14.48,16.52,1.92,0.13,8.08,0.07,11.8,1085.8,109.92,1341.42,2002.47,1216.67,8.02,-0.67,0.22,0.42,1.79,25.86
City Union Bank,532210,CUB,INE491A01021,Banks,Private Sector Bank,228.85,53.8,22674.13,7249.42,4979.06,68.68,69.58,16.24,2.13,1.34,1.51,7.92,13.2,8868.99,1038.55,0.0,494.19,0.0,6.05,4.11,-4.72,13.9,0.88,6.74
CreditAcc. Gram.,541770,CREDITACC,INE741K01010,Finance,Microfinance Institutions,1376.6,32.22,22088.12,6379.52,3639.35,57.05,49.48,18.31,2.84,-9.2,2.6,3.01,10.51,1569.78,3.8,0.0,40.33,0.0,8.02,0.08,0.54,6.61,0.0,15.77
DCM Shriram,523367,DCMSHRIRAM,INE499A01024,Diversified,Diversified,1016.2,45.14,15846.86,13840.48,1530.39,11.06,11.06,11.54,2.07,-7.74,6.32,0.38,11.5,1776.24,257.76,1081.1,1218.25,3108.12,6.73,-0.1,-0.08,2.41,1.1,28.15
Deepak Fertilis.,500645,DEEPAKFERT,INE501A01019,Chemicals & Petrochemicals,Commodity Chemicals,1400.3,38.37,17677.05,12103.54,2016.17,16.66,14.64,17.96,2.56,-1.15,4.9,0.83,10.9,1478.56,85.18,2343.2,2157.54,1737.77,7.2,1.45,-0.29,3.38,0.7,16.71
eClerx Services,532927,ECLERX,INE738I01010,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),1977.8,62.57,18601.37,4334.83,1095.98,25.28,25.58,25.48,7.29,1.99,20.22,0.15,28.36,1399.42,105.11,1014.34,100.01,0.62,5.62,-0.11,-0.81,0.38,0.05,20.81
Edelweiss.Fin.,532922,EDELWEISS,INE532F01054,Finance,Holding Company,126.6,55.87,11983.05,10507.9,2894.55,27.55,29.67,19.06,2.52,0.9,1.79,4.02,13.52,-9563.59,452.44,478.33,1384.59,0.0,12.24,0.79,0.43,5.63,1.17,5.45
EIH,500840,EIHOTEL,INE230A01023,Leisure Services,Hotels & Resorts,282.75,37.03,17682.2,3023.01,1030.47,34.09,34.83,24.38,3.42,0.97,12.09,0.05,14.48,798.06,202.4,256.67,310.69,63.79,6.18,-0.1,0.03,0.23,0.5,34.97
Emami,531162,EMAMILTD,INE548C01032,Personal Products,Personal Care,364.0,33.98,15888.61,3914.63,971.78,24.82,25.39,20.95,5.45,4.02,19.99,0.06,26.17,624.73,72.14,343.32,477.07,399.57,5.39,0.09,-0.7,0.18,2.69,41.15
Emmvee Photovol.,544608,EMMVEE,INE1C6T01020,Electrical Equipment,Other Electrical Equipment,322.3,49.08,22314.23,5577.58,1931.98,34.64,34.34,17.44,6.07,0.04,22.33,0.1,51.12,1575.0,55.59,695.02,882.13,1710.55,7.48,-2.48,0.47,0.21,0.0,13.26
Escorts Kubota,500495,ESCORTS,INE042A01014,"Agricultural, Commercial & Construction Vehicles",Tractors,2985.0,45.99,33395.5,12247.76,1529.42,12.49,12.97,23.44,2.66,0.5,14.74,0.01,18.72,865.42,565.63,1202.55,2193.32,1472.26,5.71,-1.01,0.65,0.09,1.1,28.59
Federal Bank,500469,FEDERALBNK,INE171A01029,Banks,Private Sector Bank,349.0,43.35,86270.23,30384.84,19588.76,64.47,65.18,18.49,2.13,1.69,1.17,8.66,11.59,32616.23,4515.36,0.0,532.42,0.0,5.79,-1.12,1.66,14.38,0.35,6.11
Finolex Cables,500144,FINCABLES,INE235A01022,Industrial Products,Cables - Electricals,1244.55,65.78,19033.98,6938.64,727.3,10.48,9.8,23.8,3.12,1.94,10.75,0.0,12.33,3112.36,382.16,370.08,221.9,1023.17,5.29,0.27,0.03,0.02,0.63,9.49
Firstsour.Solu.,532809,FSL,INE684F01012,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),263.5,46.66,18630.16,10063.62,1660.41,16.5,16.79,23.36,4.26,1.72,8.85,0.67,17.63,-766.38,-163.19,2078.59,557.94,0.0,5.6,-0.08,-0.47,2.4,2.07,30.6
Five-Star Bus.Fi,543663,FIVESTAR,INE128S01021,Finance,Non Banking Financial Company (NBFC),536.9,52.49,15848.76,3260.44,2196.16,67.36,68.79,14.41,2.18,0.65,7.27,1.11,16.06,2122.76,33.1,0.0,31.81,0.0,9.99,4.77,-4.51,3.74,0.38,19.38
Force Motors,500033,FORCEMOT,INE451A01017,Automobiles,Passenger Cars & Utility Vehicles,17550.0,39.96,23124.31,9199.81,1478.91,16.08,16.38,20.97,5.5,0.1,16.16,0.0,26.09,1787.4,348.65,191.15,1040.32,1258.01,6.0,-0.29,-1.42,0.0,0.29,33.74
Genus Power,530343,GENUSPOWER,INE955D01029,Electrical Equipment,Other Electrical Equipment,334.25,66.39,10169.34,5173.37,973.2,18.81,19.22,15.67,4.54,0.09,11.08,1.04,29.0,2210.42,91.6,1502.52,773.48,1352.55,8.19,-0.3,-0.16,2.3,0.14,6.88
Godawari Power,532734,GPIL,INE177H01039,Industrial Products,Iron & Steel Products,242.1,44.79,16295.66,5807.87,1250.82,21.54,23.49,19.94,2.85,28.9,12.22,0.08,15.33,1737.97,106.84,131.54,442.94,926.36,7.71,0.47,0.06,0.37,0.42,24.34
Godfrey Phillips,500163,GODFRYPHLP,INE260B01028,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,2104.0,46.26,32818.47,6110.42,1428.51,23.38,24.79,24.02,5.36,0.76,17.53,0.04,23.38,2038.37,453.74,907.43,532.31,2264.35,5.26,0.38,-0.11,0.13,2.37,46.69
Gujarat Energy,539336,GUJENERGY,INE844O01030,Gas,LPG/CNG/PNG/LNG Supplier,247.7,35.65,23240.05,22775.64,2884.06,12.66,12.92,11.86,0.93,1.03,8.86,0.18,15.76,4712.69,381.75,1752.37,1654.39,1121.58,10.52,9.42,6.87,1.19,3.62,36.85
H U D C O,540530,HUDCO,INE031A01017,Finance,Financial Institution,181.4,31.57,36314.46,13930.26,12768.21,91.66,91.16,8.55,1.66,0.26,2.71,6.45,20.05,319.69,188.89,0.77,0.0,0.0,7.27,-0.94,0.18,10.94,3.26,26.53
HBL Engineering,517271,HBLENGINE,INE292B01021,Industrial Products,Other Industrial Products,657.0,40.03,18211.62,3339.09,1067.86,31.98,33.7,22.73,8.23,0.22,34.04,0.03,45.34,1458.34,31.76,646.11,184.9,562.08,5.91,0.18,-0.32,0.06,0.46,41.44
HCL Technologies,532281,HCLTECH,INE860A01027,IT - Software,Computers - Software & Consulting,1309.0,52.68,355218.81,134374.0,27539.0,20.49,20.56,19.59,4.69,3.51,15.71,0.07,23.81,31756.0,527.0,31541.0,7706.0,239.0,7.29,-0.2,-0.61,0.21,4.14,26.46
HDB FINANC SER,544429,HDBFS,INE756I01012,Finance,Non Banking Financial Company (NBFC),683.15,43.0,56753.64,18902.2,10755.3,56.9,56.7,20.55,2.73,2.26,2.19,4.8,13.94,-259.68,0.0,295.95,179.88,0.0,6.85,-0.19,0.54,9.41,0.59,14.73
HDFC Bank,500180,HDFCBANK,INE040A01034,Banks,Private Sector Bank,709.0,38.4,1092648.47,351818.61,150193.54,42.69,41.59,13.82,1.89,0.77,1.69,6.21,13.64,232457.78,143699.59,0.0,0.0,0.0,6.26,1.61,-2.23,12.7,1.75,30.52
Hero Motocorp,500182,HEROMOTOCO,INE158A01026,Automobiles,2/3 Wheelers,5550.0,54.05,111078.46,50809.84,7089.59,13.95,14.89,20.02,5.16,0.71,18.69,0.04,28.1,-3204.63,1088.93,2339.85,7676.27,2650.09,6.63,-0.43,-0.06,0.1,3.37,13.15
Hexaware Tech.,544362,HEXT,INE093A01041,IT - Software,Computers - Software & Consulting,558.0,49.72,34094.68,14420.0,2155.3,14.95,14.27,24.11,5.08,1.34,14.57,0.1,24.86,1615.7,84.4,1648.9,1161.1,0.0,5.96,1.02,-1.01,0.35,2.06,30.97
Hindalco Inds.,500440,HINDALCO,INE038A01020,Non - Ferrous Metals,Aluminium,1016.0,53.37,228318.36,295537.0,40903.0,13.84,12.69,10.89,1.65,0.58,5.54,0.73,12.97,16637.0,-5911.0,27222.0,61624.0,75517.0,11.08,-1.53,1.45,2.82,0.49,13.85
