Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,RSI,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Trade receivables,Trade Payables,Inventory,Earnings yield,Change in DII holding,Change in FII holding,Debt to EBIT,Down from 52w high
Adcounty Media.,544435,,INE0W1601012,Media,Web based media and service,104.00,26.34,234.01,72.73,19.67,27.05,26.49,14.87,2.46,0.16,35.51,0.01,47.28,75.90,2.20,44.68,7.37,0.00,10.86,3.90,0.95,0.04,63.12
Addictive Learn,,ADDICTIVE,INE0RDH01021,Other Consumer Services,E-Learning,121.00,51.45,192.51,75.39,19.62,26.02,30.64,22.08,2.34,0.12,11.21,0.00,13.08,-2.28,2.68,0.48,2.12,0.00,6.37,0.32,-1.46,0.00,66.39
All E Tech,,ALLETEC,INE0M2X01012,IT - Software,Computers - Software & Consulting,214.75,41.60,433.67,138.34,30.32,21.92,21.99,14.28,2.79,0.30,18.15,0.00,22.39,136.31,12.39,19.01,8.19,0.00,13.79,0.00,-0.90,0.01,59.78
Alphalogic Tech.,542770,,INE08E401029,IT - Software,Computers - Software & Consulting,59.98,37.11,375.54,63.57,7.83,12.32,9.09,76.48,7.56,1.61,10.42,0.10,11.49,45.54,1.79,15.13,8.85,2.29,2.45,0.00,0.00,0.53,57.66
Antelopus Selan,530075,ANTELOPUS,INE818A01017,Oil,Oil Exploration & Production,411.25,45.22,1446.05,231.46,108.87,47.04,52.57,25.68,2.46,0.27,13.99,0.01,17.18,162.06,12.62,34.40,7.86,34.83,5.59,0.00,-2.21,0.05,53.21
Apollo Finvest,512437,,INE412D01013,Finance,Non Banking Financial Company (NBFC),396.00,41.54,147.81,26.12,10.73,41.08,42.33,22.74,2.07,-1.34,8.09,0.30,11.44,-7.49,2.16,0.00,0.72,0.00,7.12,0.00,0.08,1.79,54.88
Artificial Elect,526443,,INE072B01027,IT - Software,Software Products,132.30,35.54,224.46,61.20,15.64,25.56,11.49,17.52,5.35,0.10,10.06,0.00,17.78,40.55,1.44,49.72,48.37,4.95,7.64,-0.01,0.00,0.00,64.98
Atmastco Ltd,,ATMASTCO,INE05DH01017,Construction,Civil Construction,133.30,25.77,329.71,272.00,39.93,14.68,15.37,19.20,2.36,0.23,5.58,0.62,16.78,114.64,0.44,95.19,84.71,145.97,9.28,-0.36,0.00,2.38,55.68
AVP Infracon,,AVPINFRA,INE0R9401019,Construction,Civil Construction,118.35,32.29,295.63,369.67,74.84,20.25,20.28,6.79,1.86,0.07,12.64,1.14,30.20,79.37,4.14,85.02,20.02,81.79,17.20,0.10,-0.03,2.46,55.22
BEW Engg,,BEWLTD,INE0HQI01014,Industrial Manufacturing,Industrial Products,121.35,49.52,158.64,170.36,21.49,12.61,15.24,12.83,1.10,0.44,6.34,0.44,11.70,109.44,0.70,41.00,31.61,145.07,9.63,0.00,0.00,3.00,55.24
